gname,weaptype1,weapsubtype1,count
Jaish-e-Islam,Explosives/Bombs/Dynamite,Vehicle,4
Jaish-e-Islam,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),3
Jaish-e-Islam,Firearms,Automatic Weapon,2
Jaish-e-Islam,Firearms,Unknown Gun Type,8
Janatantrik Terai Madhesh Mukti Morcha (JTMMM),Explosives/Bombs/Dynamite,Other Explosive Type,3
Janatantrik Terai Madhesh Mukti Morcha (JTMMM),Firearms,Unknown Gun Type,2
Democratic Karen Buddhist Army (DKBA),Firearms,Unknown Gun Type,2
Militia Members,Incendiary,Arson/Fire,3
Hizb-I-Islami,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Hizb-I-Islami,Explosives/Bombs/Dynamite,Vehicle,5
Hizb-I-Islami,Explosives/Bombs/Dynamite,Land Mine,1
Hizb-I-Islami,Firearms,Unknown Gun Type,3
Hizb-I-Islami,Incendiary,Gasoline or Alcohol,1
Zomi Revolutionary Army (ZRA),Firearms,Unknown Gun Type,2
Continuity Irish Republican Army (CIRA),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Continuity Irish Republican Army (CIRA),Incendiary,Arson/Fire,1
Armed Forces for National Salvation - Army of the People (FASN-EP),Firearms,Rifle/Shotgun (non-automatic),2
National Democratic Alliance Army (NDAA-ESSA),Explosives/Bombs/Dynamite,Vehicle,1
Tolib Ayombekov loyalists,Melee,Knife or Other Sharp Object,1
Manipur Naga People's Army (MNPA),Explosives/Bombs/Dynamite,Grenade,1
Manipur Naga People's Army (MNPA),Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Huthis,Explosives/Bombs/Dynamite,Vehicle,1
Huthis,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",32
Huthis,Explosives/Bombs/Dynamite,Grenade,1
Huthis,Explosives/Bombs/Dynamite,Unknown Explosive Type,25
Huthis,Melee,Blunt Object,1
Huthis,Firearms,Rifle/Shotgun (non-automatic),1
Huthis,Firearms,Unknown Gun Type,38
Huthis,Incendiary,Arson/Fire,1
Russian Separatists,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Powers of the Revolutionary Arc,Explosives/Bombs/Dynamite,Other Explosive Type,1
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Other Explosive Type,34
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Unknown Explosive Type,25
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Remote Trigger,1
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",39
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Grenade,18
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Land Mine,1
Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,Vehicle,3
