gname,natlty1,targsubtype1,region,weapsubtype1,nwound,nkill,property,attacktype1,guncertain1,nkillter,suicide
Haqqani Network,4.0,3.0,6,13.0,73.0,46.0,1,3,1,6.0,1
Haqqani Network,4.0,77.0,6,,20.0,45.0,-9,2,1,10.0,0
Haqqani Network,4.0,8.0,6,13.0,8.0,19.0,1,2,1,9.0,1
Haqqani Network,4.0,25.0,6,15.0,94.0,5.0,1,3,0,0.0,0
Haqqani Network,217.0,46.0,6,13.0,20.0,10.0,1,3,0,6.0,1
Haqqani Network,4.0,20.0,6,13.0,,,1,3,0,1.0,1
Haqqani Network,4.0,44.0,6,13.0,0.0,1.0,0,3,0,1.0,1
Haqqani Network,422.0,37.0,6,13.0,,18.0,1,3,1,1.0,1
Haqqani Network,98.0,12.0,6,15.0,5.0,7.0,1,5,0,5.0,1
Haqqani Network,422.0,37.0,6,15.0,70.0,2.0,1,3,0,1.0,1
Haqqani Network,4.0,21.0,6,11.0,4.11,2.83,1,2,0,2.0,0
Haqqani Network,216.0,46.0,6,11.0,4.11,2.83,1,3,0,2.0,0
Haqqani Network,217.0,46.0,6,13.0,4.11,2.83,0,3,0,2.0,1
Haqqani Network,75.0,46.0,6,11.0,4.11,2.83,1,3,0,2.0,0
Haqqani Network,4.0,8.0,6,16.0,4.11,2.83,1,3,0,2.0,0
Haqqani Network,4.0,44.0,6,13.0,4.11,2.83,-9,3,0,2.0,1
Haqqani Network,101.0,46.0,6,11.0,4.11,2.83,1,3,0,2.0,0
Haqqani Network,4.0,22.0,6,13.0,4.11,2.83,1,3,0,2.0,1
Haqqani Network,4.0,21.0,6,,4.11,2.83,1,9,0,2.0,0
Haqqani Network,4.0,22.0,6,5.0,4.11,2.83,1,2,0,2.0,0
Haqqani Network,422.0,37.0,6,13.0,0.0,0.0,1,3,0,0.0,1
Haqqani Network,94.0,46.0,6,5.0,4.11,2.83,1,2,0,2.0,0
Haqqani Network,4.0,15.0,6,13.0,4.11,2.83,0,1,0,2.0,1
Haqqani Network,422.0,37.0,6,5.0,0.0,0.0,1,2,0,0.0,0
Haqqani Network,422.0,37.0,6,15.0,4.11,2.84,1,3,0,2.0,1
Haqqani Network,38.0,46.0,6,11.0,4.11,2.84,1,3,0,2.0,0
Haqqani Network,4.0,27.0,6,,0.0,0.0,1,9,0,0.0,0
Haqqani Network,422.0,37.0,6,11.0,0.0,0.0,1,3,0,0.0,0
Haqqani Network,4.0,21.0,6,5.0,4.11,2.84,1,2,0,2.0,0
Haqqani Network,4.0,6.0,6,11.0,4.11,2.84,1,3,0,2.0,0
Haqqani Network,4.0,,6,13.0,4.12,2.84,1,3,0,2.0,1
Haqqani Network,101.0,46.0,6,11.0,4.12,2.84,1,3,0,2.0,0
Haqqani Network,422.0,37.0,6,15.0,,21.0,1,3,0,14.0,1
Haqqani Network,153.0,23.0,6,7.0,0.0,0.0,1,3,0,0.0,0
Haqqani Network,92.0,77.0,6,5.0,0.0,1.0,0,1,0,0.0,0
Haqqani Network,4.0,84.0,6,29.0,0.0,0.0,0,3,0,0.0,1
Haqqani Network,4.0,36.0,6,5.0,,32.5,-9,6,0,30.0,0
Haqqani Network,4.0,36.0,6,5.0,,32.5,-9,6,0,30.0,0
Haqqani Network,4.0,24.0,6,,,7.0,-9,9,0,3.0,0
Haqqani Network,4.0,20.0,6,13.0,0.0,1.0,0,3,0,1.0,1
