rf,extra,xgboost,neuralNetwork,labels
12,4,100,17,0
1,1,1,1,1
1,1,1,1,1
0,0,51,0,0
6,6,2,2,2
6,6,2,2,2
6,6,3,2,3
4,1,4,4,4
4,6,4,4,4
5,6,5,6,5
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,7,7,7
8,53,8,53,8
4,4,9,1,9
6,6,10,6,3
6,6,0,2,0
6,6,10,2,10
4,1,4,31,4
6,6,6,6,6
6,6,7,7,7
6,6,6,6,6
6,6,6,6,6
6,6,6,6,11
5,5,5,29,5
1,1,1,1,1
4,0,9,1,9
4,4,4,62,0
12,12,12,12,12
12,12,12,12,12
13,45,45,17,13
6,6,3,10,3
4,4,4,62,0
6,6,6,6,6
6,6,6,6,6
6,6,14,2,14
6,6,14,2,14
6,6,14,2,14
6,6,14,2,14
6,6,14,2,14
6,6,14,2,14
6,7,7,7,7
6,7,7,7,7
6,6,6,6,6
67,51,67,0,0
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,0,2,0
6,6,15,10,15
6,6,15,15,15
6,6,0,2,0
5,5,5,5,5
5,5,5,5,5
6,6,6,6,6
6,6,6,6,6
53,53,53,53,0
6,6,2,2,2
6,6,7,7,7
6,6,7,7,7
6,6,14,2,14
6,6,2,2,2
5,6,5,6,5
5,6,5,5,5
6,6,6,6,6
6,6,6,6,6
4,4,4,4,4
6,6,2,2,2
6,6,15,10,15
6,6,7,7,7
4,1,4,1,4
4,1,4,1,4
6,6,6,6,6
6,6,6,6,6
5,6,5,6,5
12,12,12,12,12
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
4,1,4,1,4
6,6,6,17,16
6,6,2,2,2
6,7,7,7,7
6,6,2,2,2
17,1,17,17,17
6,6,6,12,0
6,6,6,6,6
6,6,6,6,6
5,6,5,5,5
5,6,5,5,5
6,6,6,6,6
6,6,2,2,2
6,6,6,6,6
6,6,6,6,18
6,6,6,6,6
40,40,40,65,0
12,12,12,12,12
6,6,10,2,3
6,6,6,6,6
5,6,5,5,5
6,6,6,6,6
12,12,12,12,12
29,5,19,29,19
6,6,2,2,2
2,2,2,2,2
6,6,2,2,20
6,6,6,6,21
6,6,6,6,6
6,6,6,6,6
6,6,15,3,15
6,6,7,7,7
6,6,6,6,6
6,6,6,6,6
13,0,0,2,0
4,6,4,1,4
6,6,2,2,2
6,6,6,6,6
1,1,1,1,1
4,4,9,31,22
5,5,5,29,5
5,5,5,5,5
12,12,12,12,12
4,1,4,1,4
6,6,2,2,2
6,6,2,2,2
6,6,2,2,20
6,6,6,6,6
