location,counts
Transportation-Transportation,70
Government (General)-Government (General),286
Utilities-Utilities,114
Business-Government (General),13
NGO-NGO,1
Unknown-Journalists & Media,1
Government (Diplomatic)-Unknown,2
Police-Educational Institution,10
Government (Diplomatic)-Private Citizens & Property,1
Telecommunication-Government (General),9
Utilities-Unknown,1
Journalists & Media,472
Maritime,22
Government (Diplomatic)-Government (General),2
Other-Business,1
Tourists,44
Transportation-Unknown,4
Government (General)-Educational Institution,8
Journalists & Media-Business,1
Police-Police,538
Other-Government (General),2
Military-Government (General),28
Educational Institution-Transportation,1
Unknown-Educational Institution,1
NGO-Business,2
Military-Telecommunication,1
Police-Military,49
Unknown-Private Citizens & Property,24
Military-Airports & Aircraft,2
Terrorists/NonState Militia-Government (General),1
Business-Food or Water Supply,3
Private Citizens & Property-Police,94
Military-Other,1
Military-Transportation,5
Unknown-Government (General),4
Educational Institution-Telecommunication,1
Utilities-Military,5
Government (General)-Government (Diplomatic),8
Educational Institution,996
Government (General)-Unknown,16
Educational Institution-Violent Political Party,1
Other-Airports & Aircraft,1
Military-Unknown,7
Violent Political Party-Police,3
Business,2461
Government (General)-Utilities,1
Utilities-Transportation,1
Airports & Aircraft-Private Citizens & Property,4
Business-Maritime,1
Airports & Aircraft-Police,3
Government (General)-Terrorists/NonState Militia,3
Military-Military,513
Police-Business,53
Military-Educational Institution,3
Religious Figures/Institutions-Religious Figures/Institutions,95
Other-Military,3
Educational Institution-Government (General),7
Military-Terrorists/NonState Militia,3
Government (Diplomatic)-Government (Diplomatic),18
Other,112
Private Citizens & Property-Business,57
Unknown,1535
Business-Other,2
Business-Business,199
Police-Journalists & Media,5
Transportation-Educational Institution,2
Police-Transportation,6
Government (General)-Transportation,7
Food or Water Supply,45
Military-Journalists & Media,1
Business-Journalists & Media,1
Business-Terrorists/NonState Militia,1
NGO-Military,1
Unknown-Transportation,2
Government (Diplomatic)-Transportation,1
Private Citizens & Property-Airports & Aircraft,1
Other-Other,1
