iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2011,2,9,0,6,0,0,1,1,1,1,0,0,1,0,6,14,77,0,0,92,0,-99,0,1,5,0,5,5,1,0,0,0,0,0,0,4,1,0,0,0,0,6
2013,5,8,0,10,0,0,0,1,1,0,1,0,1,0,2,4,34,0,0,228,0,2,0,0,10,0,5,5,3,0,0,0,0,0,0,4,0,0,1,0,1,12
2014,4,2,0,11,0,0,0,1,1,1,0,0,0,0,3,20,0,0,0,104,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,0,4,0,1,1,0,1,4
2013,7,31,0,5,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,205,0,-99,0,0,10,0,6,16,1,0,0,0,0,0,0,4,0,-9,-9,0,-9,57
2014,3,17,0,10,0,0,1,1,1,1,0,0,1,0,3,15,87,0,0,95,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,99
2014,6,5,1,11,0,0,1,1,1,1,0,0,1,0,6,14,71,0,0,147,0,-99,0,1,8,0,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,1
2014,7,9,0,6,0,0,0,1,1,1,0,0,1,1,3,3,24,0,0,4,0,1,0,1,10,0,6,15,2,0,1,5,0,0,0,4,0,0,0,0,0,5
2014,1,26,0,5,0,0,0,1,1,1,0,0,1,0,2,4,34,0,0,160,0,-99,0,0,10,0,5,3,1,0,0,0,0,0,0,4,0,0,0,0,0,3
2014,9,27,0,10,0,0,0,1,1,1,0,0,1,0,3,14,75,0,0,95,0,-99,0,0,10,0,6,11,0,0,0,1,0,0,0,4,0,-9,-9,0,-9,99
2012,6,11,0,6,0,0,0,1,1,1,0,0,1,0,2,3,22,0,0,4,0,80,0,0,10,0,5,5,22,0,20,11,0,5,0,4,0,0,0,0,0,5
2012,6,11,0,6,0,0,0,1,1,1,0,0,1,0,1,2,20,0,0,4,0,-99,0,1,7,0,5,5,1,0,0,0,0,0,0,4,0,0,0,0,0,5
2013,9,8,0,10,0,0,0,1,1,1,0,0,1,0,6,14,69,0,0,200,0,-99,0,0,10,0,9,23,30,0,0,0,0,0,0,4,1,0,0,0,0,62
2012,10,2,0,6,0,0,0,1,1,0,1,0,1,0,3,4,34,0,0,4,0,-99,0,1,10,0,6,8,4,0,2,0,0,0,0,4,0,0,0,0,0,5
2014,5,11,0,6,0,0,0,1,1,1,0,1,0,0,3,4,34,0,0,4,0,-99,0,1,8,0,6,12,0,0,0,0,0,0,0,4,0,0,0,0,0,5
