iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,6,16,0,6,0,0,0,1,1,0,1,0,1,0,3,4,34,0,0,153,0,-99,0,1,7,0,6,16,6,0,0,3,0,0,-9,4,0,0,0,0,0,2
2014,11,25,0,10,0,0,0,1,1,1,0,0,1,0,6,14,67,0,0,200,0,-99,0,0,10,0,13,0,2,0,0,0,0,0,0,4,1,-9,-9,0,-9,99
2014,12,13,0,10,0,0,0,1,1,1,0,0,1,0,3,4,34,0,0,95,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2013,4,19,0,6,0,0,0,1,1,1,0,0,1,0,2,3,24,0,0,4,0,-99,0,1,10,0,5,5,3,0,2,0,0,0,-9,4,0,0,0,0,0,5
2014,7,5,0,10,0,0,0,1,1,1,0,1,1,0,4,3,24,0,0,95,0,-99,0,0,10,0,5,5,1,0,0,1,0,0,1,4,0,-9,-9,0,-9,99
2014,1,29,0,6,0,0,0,1,1,0,1,1,1,0,3,4,36,0,0,153,0,-99,0,1,8,0,6,16,0,0,0,0,0,0,-9,4,0,0,0,0,0,2
2011,7,23,0,6,0,0,0,1,1,1,0,0,1,0,2,14,67,0,0,92,1,-99,0,0,10,0,9,23,1,0,0,0,0,0,0,4,0,0,0,0,0,6
2014,6,23,0,10,0,0,0,1,1,1,0,0,1,0,2,3,26,0,0,95,0,-99,0,0,10,0,5,5,75,0,5,5,0,0,1,3,0,-9,-9,0,-9,99
2012,6,19,0,5,0,0,0,1,1,0,1,0,1,0,2,4,34,0,0,160,0,3,0,0,10,0,5,5,1,0,0,0,0,0,0,4,0,0,0,0,0,3
2013,8,22,0,10,0,0,0,1,1,1,0,1,1,0,3,14,75,0,0,97,0,-99,0,1,7,0,6,11,0,0,0,0,0,0,0,4,0,1,1,0,1,58
2014,12,29,0,11,0,0,0,1,1,1,0,0,1,0,9,14,67,0,0,37,0,-99,0,0,10,0,13,0,30,0,0,0,0,0,-9,4,0,1,1,0,1,1
2014,11,28,0,11,0,0,0,1,1,1,0,0,0,0,3,14,67,0,0,147,1,-99,0,0,10,0,6,16,0,0,0,0,0,0,0,4,0,0,0,0,0,1
2014,5,15,0,6,0,0,0,1,1,1,0,0,0,0,9,3,24,0,0,4,0,10,0,0,10,0,13,0,10,0,10,0,0,0,0,4,0,0,0,0,0,5
2014,6,24,0,6,0,0,0,1,1,1,0,0,1,0,3,20,0,0,0,0,0,3,0,0,10,0,6,16,3,0,3,0,0,0,0,4,0,0,1,1,1,5
2012,5,2,1,6,0,0,0,1,1,1,0,0,1,0,6,14,72,0,0,92,0,-99,0,1,1,0,9,23,1,0,0,0,0,0,0,4,1,-9,-9,0,-9,52
2013,1,30,0,6,0,0,0,1,1,1,0,1,1,0,7,19,99,0,0,19,0,-99,0,0,10,0,8,18,0,0,0,0,0,0,1,3,0,0,0,0,0,93
2013,9,2,0,5,0,0,0,1,1,1,0,0,1,0,3,21,107,0,0,160,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,0,0,0,0,85
2011,1,15,0,6,0,0,1,1,1,1,0,0,1,0,3,3,23,0,0,92,1,-99,0,0,10,0,6,8,0,0,0,1,0,0,1,3,0,0,0,0,0,6
2012,11,7,0,10,0,0,0,1,1,1,0,0,1,0,3,14,67,0,0,200,0,-99,0,1,10,0,6,11,3,0,0,7,0,0,1,3,0,0,0,0,0,56
2014,11,5,0,11,0,0,0,1,1,0,1,1,1,0,2,4,34,0,0,422,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,-9,4,0,0,1,1,1,1
2013,6,16,0,6,0,0,0,1,1,1,0,0,1,0,3,3,22,0,0,92,0,-99,0,0,10,0,6,17,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,35
2014,10,8,0,5,0,0,0,1,1,1,0,0,1,0,3,4,29,0,0,205,0,-99,0,0,10,0,6,17,0,0,0,2,0,0,1,4,0,-9,-9,0,-9,57
2013,4,11,0,6,0,0,0,1,1,1,0,1,1,0,3,3,22,0,0,92,0,500,0,0,10,0,6,12,0,0,0,0,0,0,1,4,0,-9,-9,0,-9,52
2012,10,19,0,10,0,0,0,1,1,0,1,0,1,0,2,4,29,0,0,209,0,-99,0,0,10,0,5,5,0,0,0,3,0,0,0,4,0,0,0,0,0,28
2013,9,23,1,5,0,0,0,1,1,1,0,1,1,0,6,4,34,0,0,160,0,-99,0,1,8,0,5,4,0,0,0,0,0,0,0,4,1,0,0,0,0,85
2014,4,21,0,6,0,0,0,1,1,1,0,1,1,0,2,3,23,0,0,153,0,-99,0,0,10,0,5,5,6,0,0,11,0,0,1,3,0,0,0,0,0,2
2014,2,3,0,10,0,0,0,1,1,1,0,0,1,0,6,17,94,0,0,200,0,-99,0,1,6,0,9,23,1,0,0,0,0,0,0,4,1,-9,-9,0,-9,99
2014,7,27,1,11,0,0,0,1,1,1,0,0,1,0,6,13,65,0,0,195,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,109
2014,12,30,0,6,0,0,0,1,1,1,0,0,1,0,3,21,106,0,0,153,0,-99,0,1,2,0,6,16,0,0,0,0,0,0,1,4,0,0,0,0,0,14
2014,9,18,0,6,0,0,0,1,1,1,0,0,1,0,7,14,73,0,0,92,0,20,0,0,10,0,8,18,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,52
2014,7,17,0,11,0,0,0,1,1,1,0,0,1,0,9,17,94,0,0,182,0,-99,0,0,10,0,13,0,4,0,4,0,0,0,0,4,0,0,0,0,0,4
2014,12,14,1,10,0,0,0,1,1,1,0,0,1,0,6,10,55,0,0,95,0,-99,0,1,7,0,13,0,0,0,0,0,0,0,0,4,1,-9,-9,1,1,99
2013,7,20,0,6,0,0,0,1,1,1,0,0,1,0,3,14,73,0,0,4,0,-99,0,0,10,0,6,16,3,0,0,0,0,0,1,3,0,0,0,0,0,5
